date	Open	High	Low	Close	Volume
1630467480000	17185.6	17185.6	17185.6	17185.6	0
1630467960000	17165.15	17183.95	17151.95	17169.9	0
1630468020000	17169.6	17177.65	17167.7	17170.15	0
1630468080000	17170.45	17176.2	17156.9	17158.15	0
1630468140000	17158	17168.95	17150.8	17157.75	0
1630468200000	17158.55	17161.3	17152.2	17158.3	0
1630468260000	17159.05	17162.55	17148.15	17153.6	0
1630468320000	17154.2	17168.5	17154.2	17164.05	0
1630468380000	17167.2	17177.5	17166.75	17174.9	0
1630468440000	17174.2	17177.35	17169.4	17177.2	0
1630468500000	17178.95	17182.65	17174.7	17180.75	0
1630468560000	17180.35	17186.95	17180.2	17181.9	0
1630468620000	17182.45	17184.15	17177.85	17177.9	0
1630468680000	17179.4	17188.75	17179.35	17188.2	0
1630468740000	17188.15	17188.15	17180.35	17184.1	0
1630468800000	17183.7	17189.95	17183.5	17189.1	0
1630468860000	17189.3	17194.3	17182.6	17182.6	0
1630468920000	17183.5	17185.25	17179.5	17185.25	0
1630468980000	17185.5	17189	17185	17187.65	0
1630469040000	17187.4	17194.35	17186.7	17188.4	0
1630469100000	17189.05	17189.05	17178.05	17182.45	0
1630469160000	17181	17181.3	17174.05	17174.05	0
1630469220000	17172.55	17172.9	17158.55	17159.05	0
1630469280000	17159.95	17168.55	17159.1	17167.5	0
1630469340000	17167.05	17174.15	17167.05	17174.15	0
1630469400000	17173.7	17177.1	17171.05	17173.8	0
1630469460000	17174.65	17183.2	17173.1	17182.4	0
1630469520000	17182.6	17187.2	17179.9	17184.8	0
1630469580000	17184.85	17188.45	17183	17187.95	0
1630469640000	17188.05	17188.05	17179.85	17186.2	0
1630469700000	17185.45	17186.75	17181.2	17186.1	0
1630469760000	17186.4	17190.3	17181.25	17182.6	0
1630469820000	17183.2	17183.65	17174.1	17179.55	0
1630469880000	17180.5	17185.2	17179.55	17185.2	0
1630469940000	17185.9	17190.9	17184.15	17190.8	0
1630470000000	17191.05	17193.7	17187.05	17191.4	0
1630470060000	17190.75	17200	17188.45	17199.75	0
1630470120000	17199.2	17202.65	17195.9	17197.05	0
1630470180000	17195.8	17200.15	17195.55	17198.45	0
1630470240000	17198.3	17198.3	17193.9	17197.2	0
1630470300000	17197.25	17202.75	17197.25	17201.6	0
1630470360000	17202	17207.35	17197.7	17205.9	0
1630470420000	17207.4	17209.4	17205.65	17206.7	0
1630470480000	17206.1	17214.65	17206.1	17208.7	0
1630470540000	17210.5	17221.95	17209.55	17219.6	0
1630470600000	17219.85	17222.8	17208.95	17208.95	0
1630470660000	17209.85	17219.75	17208.35	17215.6	0
1630470720000	17216.1	17216.95	17211.35	17214.3	0
1630470780000	17214.15	17217	17212.25	17213.75	0
1630470840000	17213.9	17220.6	17212.6	17220	0
1630470900000	17219.5	17225.75	17217.2	17222.3	0
1630470960000	17222.1	17223.4	17214	17214	0
1630471020000	17215.4	17217.65	17213.6	17214.75	0
1630471080000	17214.35	17220.35	17213.6	17219.6	0
1630471140000	17219.2	17219.2	17216.1	17216.6	0
1630471200000	17216.3	17218.55	17215.5	17215.5	0
1630471260000	17215.9	17215.9	17211.2	17212.25	0
1630471320000	17212.6	17212.6	17202.15	17205.15	0
1630471380000	17204.85	17206.8	17203.95	17204.5	0
1630471440000	17204.35	17207.85	17203.05	17205.2	0
1630471500000	17205.35	17205.35	17197.4	17200.3	0
1630471560000	17199.9	17201.95	17188.05	17188.9	0
1630471620000	17189.15	17189.15	17176.55	17181.8	0
1630471680000	17182.25	17184.6	17176.6	17179.15	0
1630471740000	17178.05	17182.6	17172.1	17182.35	0
1630471800000	17182.4	17189.1	17182.4	17186.5	0
1630471860000	17186.6	17186.6	17165.55	17168.5	0
1630471920000	17167.8	17175.1	17166.55	17174.95	0
1630471980000	17175.6	17179.9	17168.5	17168.5	0
1630472040000	17168.8	17169.1	17159.5	17163.35	0
1630472100000	17164.45	17170.3	17158.05	17158.45	0
1630472160000	17159.5	17163.7	17152.6	17162.15	0
1630472220000	17161.8	17164.45	17157.7	17163.95	0
1630472280000	17163.45	17165.65	17162.25	17165.25	0
1630472340000	17164.55	17168.95	17156.85	17156.85	0
1630472400000	17156.95	17160.65	17150.4	17151.05	0
1630472460000	17150.4	17153.1	17142.3	17148.25	0
1630472520000	17147.5	17156.3	17143.5	17155.85	0
1630472580000	17156.6	17164.85	17156.6	17158.85	0
1630472640000	17158.2	17158.5	17149.7	17154.05	0
1630472700000	17153.8	17156	17148.35	17148.35	0
1630472760000	17148.9	17154.45	17146.65	17149.7	0
