date,open,high,low,close,volume
1.63047E+12,17185.6,17185.6,17185.6,17185.6,0
1.63047E+12,17165.15,17183.95,17151.95,17169.9,0
1.63047E+12,17169.6,17177.65,17167.7,17170.15,0
1.63047E+12,17170.45,17176.2,17156.9,17158.15,0
1.63047E+12,17158,17168.95,17150.8,17157.75,0
1.63047E+12,17158.55,17161.3,17152.2,17158.3,0
1.63047E+12,17159.05,17162.55,17148.15,17153.6,0
1.63047E+12,17154.2,17168.5,17154.2,17164.05,0
1.63047E+12,17167.2,17177.5,17166.75,17174.9,0
1.63047E+12,17174.2,17177.35,17169.4,17177.2,0
1.63047E+12,17178.95,17182.65,17174.7,17180.75,0
1.63047E+12,17180.35,17186.95,17180.2,17181.9,0
1.63047E+12,17182.45,17184.15,17177.85,17177.9,0
1.63047E+12,17179.4,17188.75,17179.35,17188.2,0
1.63047E+12,17188.15,17188.15,17180.35,17184.1,0
1.63047E+12,17183.7,17189.95,17183.5,17189.1,0
1.63047E+12,17189.3,17194.3,17182.6,17182.6,0
1.63047E+12,17183.5,17185.25,17179.5,17185.25,0
1.63047E+12,17185.5,17189,17185,17187.65,0
1.63047E+12,17187.4,17194.35,17186.7,17188.4,0
1.63047E+12,17189.05,17189.05,17178.05,17182.45,0
1.63047E+12,17181,17181.3,17174.05,17174.05,0
1.63047E+12,17172.55,17172.9,17158.55,17159.05,0
1.63047E+12,17159.95,17168.55,17159.1,17167.5,0
1.63047E+12,17167.05,17174.15,17167.05,17174.15,0
1.63047E+12,17173.7,17177.1,17171.05,17173.8,0
1.63047E+12,17174.65,17183.2,17173.1,17182.4,0
1.63047E+12,17182.6,17187.2,17179.9,17184.8,0
1.63047E+12,17184.85,17188.45,17183,17187.95,0
1.63047E+12,17188.05,17188.05,17179.85,17186.2,0
1.63047E+12,17185.45,17186.75,17181.2,17186.1,0
1.63047E+12,17186.4,17190.3,17181.25,17182.6,0
1.63047E+12,17183.2,17183.65,17174.1,17179.55,0
1.63047E+12,17180.5,17185.2,17179.55,17185.2,0
1.63047E+12,17185.9,17190.9,17184.15,17190.8,0
1.63047E+12,17191.05,17193.7,17187.05,17191.4,0
1.63047E+12,17190.75,17200,17188.45,17199.75,0
1.63047E+12,17199.2,17202.65,17195.9,17197.05,0
1.63047E+12,17195.8,17200.15,17195.55,17198.45,0
1.63047E+12,17198.3,17198.3,17193.9,17197.2,0
1.63047E+12,17197.25,17202.75,17197.25,17201.6,0
1.63047E+12,17202,17207.35,17197.7,17205.9,0
1.63047E+12,17207.4,17209.4,17205.65,17206.7,0
1.63047E+12,17206.1,17214.65,17206.1,17208.7,0
1.63047E+12,17210.5,17221.95,17209.55,17219.6,0
1.63047E+12,17219.85,17222.8,17208.95,17208.95,0
